^,,a busu kwcha,english,,,a busu kwcha,,,noun|verb,{}
^,,a-bu-su- kw0cha0,english,,,a-bu-su- kw0cha0,,,noun|verb,{}
^,,be pricked by fish-bone in the throat,english,,,be pricked by fish-bone in the throat,,,noun|verb,{}
^,,a bepeng,english,,,a bepeng,,,noun|verb,{}
^,,"fish packed in a hole in the pit, ditch etc",english,,,"fish packed in a hole in the pit, ditch etc",,,noun|verb,{}
^,,a bwsa,english,,,a bwsa,,,noun|verb,{}
^,,fingerlings of fish,english,,,fingerlings of fish,,,noun|verb,{}
^,,young of a fish,english,,,young of a fish,,,noun|verb,{}
^,,abwsa gwnang,english,,,abwsa gwnang,,,noun|verb,{}
^,,the mother fish with its youngs,english,,,the mother fish with its youngs,,,noun|verb,{}
^,,a type of  dry curry or dish of fish with chilli,english,,,a type of  dry curry or dish of fish with chilli,,,noun|verb,{}
^,,fish curry,english,,,fish curry,,,noun|verb,{}
^,,fish etc,english,,,fish etc,,,noun|verb,{}
^,,a rom,english,,,a rom,,,noun|verb,{}
^,,to catch fish,english,,,to catch fish,,,noun|verb,{}
^,,a romoi chanay,english,,,a romoi chanay,,,noun|verb,{}
^,,a-ro-mo-i cha-na-y,english,,,a-ro-mo-i cha-na-y,,,noun|verb,{}
^,,fisherman,english,,,fisherman,,,noun|verb,{}
^,,a romnay,english,,,a romnay,,,noun|verb,{}
^,,a-ro-m na-y,english,,,a-ro-m na-y,,,noun|verb,{}
^,,fisherman,english,,,fisherman,,,noun|verb,{}
^,,a romma,english,,,a romma,,,noun|verb,{}
^,,a-ro-m ma-,english,,,a-ro-m ma-,,,noun|verb,{}
^,,fishing,english,,,fishing,,,noun|verb,{}
^,,a swnam,english,,,a swnam,,,noun|verb,{}
^,,to ready fish for cooking,english,,,to ready fish for cooking,,,noun|verb,{}
-,A,ai,kokborok,,,ai,secondary,,,"{""importance"": ""secondary"", ""bangla"": ""\u0986\u0987""}"
^,,to dawn,english,,,to dawn,,,verb,{}
-,A,aikhor,kokborok,,,aikhor,primary,a-i,,"{""importance"": ""primary"", ""bangla"": ""\u0986\u0987\u0996\u09b0""}"
^,,a-i kho0r,english,,,a-i kho0r,,,noun,{}
^,,letter,english,,,letter,,,noun,{}
^,,script,english,,,script,,,noun,{}
-,A,aikhor kurung,kokborok,,,aikhor kurung,secondary,a-i,,"{""importance"": ""secondary"", ""bangla"": ""\u0986\u0987\u0996\u09b0\u0995\u09c1\u09b0\u09c1\u0999""}"
^,,a-i kho0r ku0ru0ng,english,,,a-i kho0r ku0ru0ng,,,noun,{}
^,,literate,english,,,literate,,,noun,{}
-,A,aikhor bwtang,kokborok,,,aikhor bwtang,,a-i,,"{""bangla"": ""\u0986\u0987\u0996\u09b0\u09ac\u09be\u09a4\u09be\u0982""}"
^,,a-i kho0r bw-ta-ng,english,,,a-i kho0r bw-ta-ng,,,noun,{}
^,,alphabet,english,,,alphabet,,,noun,{}
-,A,aikhor rwng,kokborok,,,aikhor rwng,,a-i,,"{""bangla"": ""\u0986\u0987\u0996\u09b0\u09b0\u09be\u0999""}"
^,,a-i kho0r ru0ng,english,,,a-i kho0r ru0ng,,,verb,{}
^,,be literate,english,,,be literate,,,verb,{}
-,A,aikhor rwngya,kokborok,,,aikhor rwngya,,a-i,,"{""bangla"": ""\u0986\u0987\u0996\u09b0 \u09b0\u09be\u0999\u09df\u09be""}"
^,,a-i kho0r ru0ng ya0,english,,,a-i kho0r ru0ng ya0,,,noun,{}
^,,illiterate,english,,,illiterate,,,noun,{}
-,A,aikhor sini,kokborok,,,aikhor sini,,a-i,,"{""bangla"": ""\u0986\u0987\u0996\u09b0 \u09b8\u09bf\u09a8\u09bf""}"
^,,a-i kho0r si0ni0,english,,,a-i kho0r si0ni0,,,verb,{}
^,,be literate,english,,,be literate,,,verb,{}
-,A,a-i khor sinija-k,kokborok,,,a-i khor sinija-k,,,,"{""bangla"": ""\u0986\u0987\u0996\u09b0 \u09b8\u09bf\u09a8\u09bf\u099c\u09be\u0995\u0986\u0987 \u0996\u09b0 \u09b8\u09bf\u09a8\u09bf\u099c\u09be\u0995""}"
^,,literate,english,,,literate,,,noun,{}
-,A,aikhor sinima,kokborok,,,aikhor sinima,,a-i,,"{""bangla"": ""\u0986\u0987\u0996\u09b0 \u09b8\u09bf\u09a8\u09bf\u09ae\u09be\u0986\u0987\u0996\u09b0 \u09b8\u09bf\u09a8\u09bf\u09ae\u09c1\u0999""}"
^,,"a-i kho0r si0ni0ma-, a-i kho0r si0ni0mu0ng",english,,,"a-i kho0r si0ni0ma-, a-i kho0r si0ni0mu0ng",,,noun,{}
^,,literacy,english,,,literacy,,,noun,{}
^,,knowledge of the letters or alphabet,english,,,knowledge of the letters or alphabet,,,noun,{}
-,A,aiga,kokborok,,,aiga,,,,"{""bangla"": ""\u0986\u0987\u0997\u09be"", ""xrefs"": [{""type"": ""see_also"", ""target"": """"}]}"
^,,"a0i ga0,",english,,,"a0i ga0,",,,noun,{}
^,,order,english,,,order,,,noun,{}
-,A,aichuk,kokborok,,,aichuk,secondary,chu-k,,"{""importance"": ""secondary"", ""bangla"": ""\u0986\u0987\u099a\u09c1\u0995""}"
^,,a0i chu-k,english,,,a0i chu-k,,,noun,{}
^,,dawn,english,,,dawn,,,noun,{}
^,,early morning,english,,,early morning,,,noun,{}
^,,time of the dawn,english,,,time of the dawn,,,noun,{}
^,,daybreak,english,,,daybreak,,,noun,{}
-,A,aichuk okwra,kokborok,,,aichuk okwra,,chu-k,,"{""bangla"": ""\u0986\u0987\u099a\u09c1\u0995 \u0993\u0995\u09b0\u09be""}"
^,,a0i chu-k o-kw0ra-,english,,,a0i chu-k o-kw0ra-,,,noun,{}
^,,dawn,english,,,dawn,,,noun,{}
^,,early of the dawn,english,,,early of the dawn,,,noun,{}
-,A,aichukti,kokborok,,,aichukti,,chu-k,,"{""bangla"": ""\u0986\u0987\u099a\u09c1\u0995\u09a4\u09bf""}"
^,,a0i chu-k ti0,english,,,a0i chu-k ti0,,,noun,{}
^,,fem.dawn,english,,,fem.dawn,,,noun,{}
^,,the girl of the dawn,english,,,the girl of the dawn,,,noun,{}
-,A,aichuk pilepala,kokborok,,,aichuk pilepala,,a0ichu-k,,"{""bangla"": ""\u0986\u0987\u099a\u09c1\u0995 \u09aa\u09bf\u09b2\u09c7\u09aa\u09be\u09b2\u09be\u0986\u0987\u099a\u09c1\u0995 \u09aa\u09bf\u09b2\u09c7 \u09aa\u09bf\u09b2\u09c7\u0986\u0987 \u09aa\u09be\u09b0\u09be\u09ae \u09aa\u09be\u09b0\u09be\u09ae""}"
^,,"a0ichu-k pi0le-pa0la-, a0ichu-k pi0le-pi0le-,a0i chu-k pw0ra0m pw0ra0m",english,,,"a0ichu-k pi0le-pa0la-, a0ichu-k pi0le-pi0le-,a0i chu-k pw0ra0m pw0ra0m",,,noun,{}
^,,early of the dawn,english,,,early of the dawn,,,noun,{}
-,A,aichukray,kokborok,,,aichukray,,a0ichu-k,,"{""bangla"": ""\u0986\u0987\u099a\u09c1\u0995\u09b0\u09be\u09df""}"
^,,a0ichu-k ra0y,english,,,a0ichu-k ra0y,,,noun,{}
^,,male- dawn,english,,,male- dawn,,,noun,{}
^,,the boy of the dawn,english,,,the boy of the dawn,,,noun,{}
^,,man of the dawn,english,,,man of the dawn,,,noun,{}
-,A,aijak,kokborok,,,aijak,,ja-k,,"{""bangla"": ""\u0986\u0987\u099c\u09be\u0995""}"
^,,a0i ja-k,english,,,a0i ja-k,,,adjective|verb,{}
^,,focussed dawn,english,,,focussed dawn,,,adjective|verb,{}
^,,to complete night and face the day(as the work was supposed to complete in the night time),english,,,to complete night and face the day(as the work was supposed to complete in the night time),,,adjective|verb,{}
-,A,aitorma,kokborok,,,aitorma,,to-r,,"{""bangla"": ""\u0986\u0987\u09a4\u09b0\u09ae\u09be"", ""xrefs"": [{""type"": ""antonym"", ""target"": ""hotorma/sanja daroknaima""}]}"
^,,a0i to-r ma-,english,,,a0i to-r ma-,,,noun,{}
^,,star of the dawn.Marse,english,,,star of the dawn.Marse,,,noun,{}
^,,opp hotorma/sanja daroknaima,english,,,opp hotorma/sanja daroknaima,,,noun,{}
-,A,aitorma,kokborok,,,aitorma,,,,"{""bangla"": ""\u0986\u0987\u09a4\u09b0\u09ae\u09be""}"
^,,star of the dawn,english,,,star of the dawn,,,,{}
^,,(the venus),english,,,(the venus),,,,{}
-,S,sanjadaroknaima,kokborok,,,sanjadaroknaima,,,,"{""bangla"": ""\u09b8\u09be\u09a8\u099c\u09be\u09a6\u09be\u09b0\u0995\u09a8\u09be\u0987\u09ae\u09be""}"
^,,star of the evening,english,,,star of the evening,,,,{}
^,,(the venus),english,,,(the venus),,,,{}
-,H,hotorma,kokborok,,,hotorma,,a0ya-ng,,"{""bangla"": ""\u09b9\u09a4\u09b0\u09ae\u09be""}"
^,,"star of the night,specially the brightstar(actually the venus)",english,,,"star of the night,specially the brightstar(actually the venus)",,,noun,{}
^,,"aitangkul,ayang kul",english,,,"aitangkul,ayang kul",,,noun,{}
^,,"a0y ta0ng ku0l,a0ya-ng ku0l",english,,,"a0y ta0ng ku0l,a0ya-ng ku0l",,,noun,{}
^,,heaven,english,,,heaven,,,noun,{}
^,,paradise,english,,,paradise,,,noun,{}
-,A,aidorop,kokborok,,,aidorop,,do-ro-p,,"{""bangla"": ""\u0986\u0987\u09a6\u09b0\u09aa""}"
^,,a0i do-ro-p,english,,,a0i do-ro-p,,,noun|adjective,{}
^,,early morning time,english,,,early morning time,,,noun|adjective,{}
^,,in the early morning,english,,,in the early morning,,,noun|adjective,{}
-,A,ain,kokborok,,,ain,,,,"{""bangla"": ""\u0986\u0987\u09a8"", ""xrefs"": [{""type"": ""alt_script"", ""target"": """"}]}"
^,,law,english,,,law,,,noun,{}
-,A,aypurok,kokborok,,,aypurok,,pu-ro0k,,"{""bangla"": ""\u0986\u09df\u09aa\u09c1\u09b0\u0995""}"
^,,a0y pu-ro0k,english,,,a0y pu-ro0k,,,noun,{}
^,,fulfil the intension,english,,,fulfil the intension,,,noun,{}
-,A,aifay,kokborok,,,aifay,,,,"{""bangla"": ""\u0986\u0987\u09ab\u09be\u09df""}"
^,,a0i fa0y,english,,,a0i fa0y,,,verb,{}
^,,to dawn after coming a place or destination,english,,,to dawn after coming a place or destination,,,verb,{}
-,A,aibi,kokborok,,,aibi,,a-i,,"{""bangla"": ""\u0986\u0987\u09ac\u09bf"", ""xrefs"": [{""type"": ""redirect"", ""target"": """"}]}"
^,,a-i bi0,english,,,a-i bi0,,,,{}
-,A,aima,kokborok,,,aima,,,,"{""bangla"": ""\u0986\u0987\u09ae\u09be""}"
^,,a0i ma-,english,,,a0i ma-,,,noun,{}
^,,morning,english,,,morning,,,noun,{}
-,A,aimung,kokborok,,,aimung,,,,"{""bangla"": ""\u0986\u0987\u09ae\u09c1\u0999""}"
^,,a0i mu0ng,english,,,a0i mu0ng,,,noun,{}
^,,nature of morning,english,,,nature of morning,,,noun,{}
-,A,airi,kokborok,,,airi,,,,"{""bangla"": ""\u0986\u0987\u09b0\u09bf""}"
^,,a0i ri0,english,,,a0i ri0,,,verb,{}
^,,to pass night,english,,,to pass night,,,verb,{}
-,A,ail,kokborok,,,ail,,a-i-l,,"{""bangla"": ""\u0986\u0987\u09b2""}"
^,,narrow  ridge of earth separating one paddy-field etc.  to another,english,,,narrow  ridge of earth separating one paddy-field etc.  to another,,,noun,{}
-,A,ailang,kokborok,,,ailang,,la-ng,,"{""bangla"": ""\u0986\u0987\u09b2\u09be\u0982""}"
^,,a0i la-ng,english,,,a0i la-ng,,,verb,{}
^,,to become dawn after waiting or passsing some time,english,,,to become dawn after waiting or passsing some time,,,verb,{}
-,A,aisa,kokborok,,,aisa,,,,"{""bangla"": ""\u0986\u0987\u09b8\u09be""}"
^,,a0i sa0,english,,,a0i sa0,,,verb,{}
^,,to become dawn,english,,,to become dawn,,,verb,{}
-,A,aisirisiri,kokborok,,,aisirisiri,,,,"{""bangla"": ""\u0986\u0987\u09b8\u09bf\u09b0\u09bf\u09b8\u09bf\u09b0\u09bf""}"
^,,a0i si0ri0si0ri0,english,,,a0i si0ri0si0ri0,,,noun|adjective,{}
^,,at the dawn,english,,,at the dawn,,,noun|adjective,{}
